Suburb,Address,Rooms,Type,Price,SellerG,Date,Postcode,Bedroom2,Bathroom,Car,Landsize,BuildingArea,YearBuilt,CouncilArea,Lattitude,Longtitude,Regionname,Propertycount
Surrey Hills,3/22 Scottsdale St,2,u,899K,Noel,25/02/2017,3127,2,1,1,226,,1980,Whitehorse,-37.8327,145.1019,Southern Metropolitan,5457
Glen Waverley,91 Orchard St,4,h,1750K,Harcourts,3/6/17,3150,4,1,2,655,161,1970,Monash,-37.87173,145.15267,Eastern Metropolitan,15321
Kew,21 Churchill St,3,h,1965K,hockingstuart,20/05/2017,3101,3,1,2,813,,,Boroondara,-37.7993,145.0451,Southern Metropolitan,10331
Port Melbourne,1001/107 Beach St,3,u,2460K,Marshall,27/11/2016,3207,3,2,2,5042,102,1995,Port Phillip,-37.8405,144.9319,Southern Metropolitan,8648
Fitzroy North,58 Scotchmer St,2,h,1345K,Woodards,8/4/17,3068,2,1,0,176,,,Yarra,-37.7831,144.9805,Northern Metropolitan,6244
Coburg,3/28 Kendall St,2,t,781K,hockingstuart,8/4/17,3058,2,1,1,0,112.9,2014,Moreland,-37.7422,144.9604,Northern Metropolitan,11204
Bentleigh,58 London St,4,t,1155K,Buxton,10/9/16,3204,4,3,2,271,205,2010,Glen Eira,-37.9252,145.0494,Southern Metropolitan,6795
Albion,3 Merlow St,4,h,820K,Bells,17/06/2017,3020,4,2,1,604,127,1950,Brimbank,-37.77967,144.81275,Western Metropolitan,2185
Middle Park,171 Ashworth St,3,h,2623K,Greg,26/07/2016,3206,3,2,2,181,212,2010,Port Phillip,-37.8536,144.9625,Southern Metropolitan,2019
Maidstone,7 Wallace St,3,h,721K,Sweeney/Advantage,8/10/16,3012,2,2,1,239,121,1955,Maribyrnong,-37.7882,144.8784,Western Metropolitan,3873
Burwood,14 Cumming St,3,h,1530K,Buxton,8/7/17,3125,3,1,2,695,,,Whitehorse,-37.85126,145.1132,Southern Metropolitan,5678
Prahran,35 Chomley St,2,h,1180K,Jellis,23/04/2016,3181,2,1,0,214,215,1900,Stonnington,-37.8577,145.0053,Southern Metropolitan,7717
Elwood,3/145 Glen Huntly Rd,2,u,670K,Buxton,16/07/2016,3184,2,2,1,0,84,1970,Port Phillip,-37.883,144.9916,Southern Metropolitan,8989
Abbotsford,47 Studley St,2,h,1180K,Jellis,27/11/2016,3067,2,1,0,162,91,1900,Yarra,-37.8016,144.9956,Northern Metropolitan,4019
Moonee Ponds,10 Chaucer St,5,h,1730K,Jellis,4/3/17,3039,5,1,1,584,,,Moonee Valley,-37.7696,144.9229,Western Metropolitan,6232
Ivanhoe,3/24 Green St,3,t,750K,Barry,16/04/2016,3079,3,1,1,110,,1990,Banyule,-37.765,145.0407,Eastern Metropolitan,5549
Hawthorn,4 Bowen St,4,h,2670K,Jellis,3/12/16,3122,4,2,1,336,235,1905,Boroondara,-37.8183,145.0371,Southern Metropolitan,11308
Canterbury,42 Parlington St,4,h,4750K,Kay,27/05/2017,3126,4,3,2,967,470,1996,Boroondara,-37.81792,145.06244,Southern Metropolitan,3265
Oak Park,68 Vincent St,4,h,855333,Eview,28/08/2016,3046,4,1,2,694,183,1974,Moreland,-37.718,144.9138,Northern Metropolitan,2651
Heidelberg Heights,36 Southern Rd,4,h,758500,hockingstuart,10/9/16,3081,2,2,3,510,,,Banyule,-37.7427,145.0547,Eastern Metropolitan,2947
Airport West,6 Kittyhawk St,4,h,773K,Brad,17/09/2016,3042,5,3,4,531,309,1980,Moonee Valley,-37.7263,144.8679,Western Metropolitan,3464
Bentleigh,38 Leckie St,3,h,1390K,Buxton,15/10/2016,3204,3,1,2,723,,1925,Glen Eira,-37.9203,145.048,Southern Metropolitan,6795
Coburg North,2/26 Renown St,2,u,532500,Brad,18/03/2017,3058,2,1,1,168,,1970,Moreland,-37.73,144.9629,Northern Metropolitan,3445
Sunshine North,88 Westmoreland Rd,2,h,1190K,YPA,19/11/2016,3020,2,1,6,968,141,1950,Brimbank,-37.7698,144.8362,Western Metropolitan,4217
Reservoir,1/18 Duffy St,2,u,376K,Ray,16/04/2016,3073,2,1,1,104,77,1970,Darebin,-37.7104,145.0076,Northern Metropolitan,21650
Essendon North,2/31 Greville St,3,u,765K,Nelson,19/11/2016,3041,3,2,1,0,134,2002,Moonee Valley,-37.7364,144.8977,Western Metropolitan,1308
South Yarra,5/9 Rockley Rd,2,u,792500,Jellis,22/04/2017,3141,2,1,1,0,106,1970,Stonnington,-37.8383,144.9995,Southern Metropolitan,14887
Epping,10/81 Rufus St,2,u,291K,HAR,9/9/17,3076,2,1,1,161,,,,-37.64888,145.02313,Northern Metropolitan,10926
Seddon,58 Station Rd,3,h,1330K,Sweeney,7/11/16,3011,3,3,2,168,187,2012,Maribyrnong,-37.8066,144.887,Western Metropolitan,2417
Brunswick East,201/218 Lygon St,2,u,435K,Jellis,8/10/16,3057,2,1,1,197,55,2012,Moreland,-37.7717,144.9719,Northern Metropolitan,5533
Bentleigh East,13 Brooks St,4,t,1060K,Woodards,10/12/16,3165,4,3,1,313,166,1960,Glen Eira,-37.9164,145.0765,Southern Metropolitan,10969
Eltham,11 Thornton St,4,h,890K,Morrison,16/09/2017,3095,4,2,2,1010,,,,-37.72881,145.13704,Eastern Metropolitan,6990
Toorak,7/765 Malvern Rd,2,u,620K,hockingstuart,4/3/17,3142,2,1,1,1119,,2008,Stonnington,-37.8498,145.0173,Southern Metropolitan,7217
North Melbourne,103/171 Flemington Rd,1,u,320K,W.B.,27/11/2016,3051,1,1,1,0,45,1975,Melbourne,-37.7955,144.9492,Northern Metropolitan,6821
Kew East,35 Frater St,3,h,1770K,Fletchers,27/06/2016,3102,3,1,1,698,,,Boroondara,-37.7902,145.061,Southern Metropolitan,2671
Sunshine West,73 Hilma St,3,h,760K,Barry,29/07/2017,3020,3,1,2,1143,100,1980,Brimbank,-37.79135,144.79948,Western Metropolitan,6763
Burwood,250 Burwood Hwy,3,h,1732K,Ray,27/05/2017,3125,3,1,0,646,,,Whitehorse,-37.85049,145.11687,Southern Metropolitan,5678
Cheltenham,1/21 Kayden St,2,u,601K,Buxton,27/05/2017,3192,2,1,1,1078,94,1972,Kingston,-37.95745,145.07219,Southern Metropolitan,9758
Bentleigh East,4/738 Centre Rd,2,u,716K,Buxton,10/12/16,3165,2,1,2,212,,,Glen Eira,-37.9218,145.0607,Southern Metropolitan,10969
Doncaster,9 Arthur St,3,h,1355K,Barry,29/04/2017,3108,3,1,1,814,120,1965,Manningham,-37.7909,145.1309,Eastern Metropolitan,9028
Reservoir,18 Elizabeth Ct,3,h,668K,Barry,17/09/2016,3073,3,2,1,618,149,1965,Darebin,-37.6989,145.0212,Northern Metropolitan,21650
Moorabbin,21 Fiddes St,3,h,1224K,Buxton,3/9/16,3189,3,1,3,834,143,1960,Kingston,-37.9376,145.0474,Southern Metropolitan,2555
Carlton,66 Palmerston St,3,h,920K,Nelson,29/07/2017,3053,3,1,0,98,,,Melbourne,-37.79633,144.97269,Northern Metropolitan,6786
Prahran,409/10 Hillingdon Pl,2,u,735K,Beller,17/06/2017,3181,2,1,1,0,,,Stonnington,-37.85127,144.99434,Southern Metropolitan,7717
Malvern East,2 Rotherwood Dr,4,h,1715157,Jellis,20/05/2017,3145,4,3,2,380,160,2008,Stonnington,-37.8792,145.0869,Southern Metropolitan,8801
Balwyn North,5/133 Maud St,2,u,560K,hockingstuart,27/11/2016,3104,2,1,1,0,,1950,Boroondara,-37.7961,145.0808,Southern Metropolitan,7809
Reservoir,31 Powell St,3,h,1005K,Harcourts,4/3/17,3073,3,2,4,466,467,1930,Darebin,-37.7266,145.0004,Northern Metropolitan,21650
South Kingsville,1/11 New St,3,u,508K,Sweeney,25/02/2017,3015,3,1,2,144,92,1980,Hobsons Bay,-37.8268,144.8675,Western Metropolitan,984
Bentleigh,6/25 Vickery St,2,u,405K,Gary,30/07/2016,3204,2,1,1,0,,1968,Glen Eira,-37.9159,145.039,Southern Metropolitan,6795
Fawkner,6/119 Anderson Rd,2,u,445K,Nelson,29/04/2017,3060,2,1,1,196,,,Moreland,-37.6956,144.9656,Northern Metropolitan,5070
Sunshine North,5 Braim St,3,h,700K,Barry,18/06/2016,3020,3,1,2,538,111,1975,Brimbank,-37.7704,144.8384,Western Metropolitan,4217
Oak Park,4 Barina Rd,3,h,821K,Stockdale,24/06/2017,3046,3,1,1,656,,,Moreland,-37.71467,144.92304,Northern Metropolitan,2651
Port Melbourne,6/156 Bay St,3,u,1631K,Cayzer,1/7/17,3207,3,2,2,0,,,Port Phillip,-37.84007,144.94129,Southern Metropolitan,8648
Richmond,193 Mary St,2,h,1102K,Biggin,4/6/16,3121,2,1,1,167,,,Yarra,-37.8255,145.0013,Northern Metropolitan,14949
Pascoe Vale,101 Northumberland Rd,3,t,600K,Eview,17/09/2016,3044,3,3,1,205,107,1940,Moreland,-37.7212,144.9326,Northern Metropolitan,7485
Newport,4 Peel St,5,h,2415K,Williams,17/09/2016,3015,3,3,2,803,293,,Hobsons Bay,-37.8463,144.8935,Western Metropolitan,5498
Carlton,73 Palmerston St,4,h,1162K,Woodards,27/11/2016,3053,4,1,0,121,,,Melbourne,-37.7967,144.9724,Northern Metropolitan,6786
Burwood,229 Highbury Rd,4,h,900K,Jellis,13/08/2016,3125,3,1,4,586,,1955,Whitehorse,-37.856,145.1196,Southern Metropolitan,5678
East Melbourne,706/30 St Andrews Pl,2,u,1400K,Caine,8/10/16,3002,2,2,1,0,,,Melbourne,-37.8118,144.9762,Northern Metropolitan,3040
Rosanna,51 Davies St,3,h,1012K,Fletchers,17/09/2016,3084,3,2,1,323,142,2015,Banyule,-37.7359,145.0614,Eastern Metropolitan,3540
Bundoora,37 Greenwood Dr,4,h,815K,Ray,26/08/2017,3083,4,2,1,525,0,1965,,-37.70765,145.05556,Northern Metropolitan,10175
Heidelberg West,122 Altona St,3,h,846K,Ray,16/09/2017,3081,3,2,2,605,,,,-37.74591,145.04449,Eastern Metropolitan,2674
Viewbank,44 Martins La,4,h,895K,Miles,18/06/2016,3084,4,2,2,700,18,1980,Banyule,-37.7326,145.0881,Eastern Metropolitan,2698
Altona North,151 Chambers Rd,3,h,900K,Greg,1/7/17,3025,3,1,2,672,110,1960,Hobsons Bay,-37.8265,144.84386,Western Metropolitan,5132
Keilor East,4 Trent Ct,4,h,1010K,Barry,14/05/2016,3033,4,2,2,776,268,1980,Moonee Valley,-37.7502,144.8745,Western Metropolitan,5629
Cheltenham,2/14 Jack Rd,3,t,950K,Chisholm,1/7/17,3192,3,3,2,160,149,2013,Bayside,-37.96062,145.04296,Southern Metropolitan,9758
Hawthorn,11/179 Power St,2,u,605K,Jellis,18/03/2017,3122,2,1,1,0,,,Boroondara,-37.8268,145.0257,Southern Metropolitan,11308
Glen Iris,5 Ventich St,5,h,2215K,Marshall,12/8/17,3146,5,2,2,847,,,Boroondara,-37.85611,145.08776,Southern Metropolitan,10412
Pascoe Vale,2/42 Railway Pde,2,t,510K,D'Aprano,17/09/2016,3044,2,1,1,110,91,2013,Moreland,-37.7282,144.928,Northern Metropolitan,7485
Caroline Springs,20 Hawksbury Grn,4,h,740K,Barry,8/7/17,3023,4,2,2,750,222,2008,Melton,-37.7277,144.73422,Western Metropolitan,7719
Bentleigh East,1 Gladesville Dr,5,h,1220K,Buxton,1/7/17,3165,5,2,2,611,188,1950,Glen Eira,-37.93228,145.07026,Southern Metropolitan,10969
West Footscray,27 Busch St,4,h,990K,RW,19/08/2017,3012,4,2,2,501,129,1960,,-37.79591,144.87595,Western Metropolitan,5058
Brighton,23 Albert St,4,h,2910K,Marshall,4/6/16,3186,4,1,2,732,,,Bayside,-37.9136,144.9886,Southern Metropolitan,10579
Keysborough,15 Daylily Dr,4,h,965K,Ray,1/7/17,3173,4,2,2,576,,,Greater Dandenong,-38.00293,145.16465,South-Eastern Metropolitan,8459
Taylors Lakes,1 Cowes Pl,4,h,853K,Barry,15/07/2017,3038,4,3,2,724,330,1990,Brimbank,-37.70941,144.7873,Western Metropolitan,5336
Ivanhoe,4 Edwin St,3,h,990K,Nelson,6/5/17,3079,3,2,2,377,,1940,Banyule,-37.7573,145.0496,Eastern Metropolitan,5549
Parkdale,13B Elm Gr,3,t,1000K,Obrien,1/7/17,3195,3,2,2,298,124,1995,Kingston,-37.99464,145.08099,South-Eastern Metropolitan,5087
Nunawading,2/281 Springvale Rd,3,u,813K,Ray,29/07/2017,3131,3,2,2,266,134,2001,Whitehorse,-37.82923,145.1744,Eastern Metropolitan,4973
Moonee Ponds,6A McPherson St,3,h,1070K,Nelson,20/05/2017,3039,3,1,2,231,130,1995,Moonee Valley,-37.7616,144.9284,Western Metropolitan,6232
Northcote,58 Herbert St,2,h,950K,Purplebricks,7/11/16,3070,2,1,1,191,73,1920,Darebin,-37.7715,144.9951,Northern Metropolitan,11364
Reservoir,1/4 Kenilworth St,3,u,631K,Barry,8/4/17,3073,3,1,1,267,,,Darebin,-37.714,145.007,Northern Metropolitan,21650
Reservoir,1 Delaware St,2,h,861500,Nelson,13/05/2017,3073,2,1,1,419,100,1940,Darebin,-37.721,145.016,Northern Metropolitan,21650
Pascoe Vale,272 Sussex St,3,h,670K,hockingstuart,25/02/2017,3044,3,1,1,596,145,1949,Moreland,-37.721,144.9514,Northern Metropolitan,7485
Preston,103 Raglan St,3,h,971K,Jellis,15/10/2016,3072,3,1,2,610,,,Darebin,-37.751,145.0197,Northern Metropolitan,14577
South Melbourne,14 Ward St,3,h,1700K,Conquest,24/06/2017,3205,3,1,1,118,,,Port Phillip,-37.83347,144.95692,Southern Metropolitan,5943
St Albans,17 Jamieson St,3,h,550K,Raine,15/07/2017,3021,3,1,1,606,130,1965,Brimbank,-37.73789,144.78734,Western Metropolitan,14042
Coburg,34 Soudan St,2,h,996K,Nelson,29/07/2017,3058,2,1,1,476,97,1930,Moreland,-37.73883,144.95321,Northern Metropolitan,11204
Brighton,5 Davie La,2,h,502K,Hodges,8/10/16,3186,2,2,0,116,,,Bayside,-37.9252,145.0004,Southern Metropolitan,10579
Canterbury,5 Margaret St,4,h,2620K,Marshall,7/11/16,3126,4,1,1,717,235,1890,Boroondara,-37.8266,145.0849,Southern Metropolitan,3265
St Kilda,8/12 Charnwood Rd,2,u,487500,Pride,8/10/16,3182,2,1,2,1676,,,Port Phillip,-37.8585,144.9852,Southern Metropolitan,13240
Ferntree Gully,2/6 Simpson Rd,2,h,594K,Ray,26/08/2017,3156,2,1,1,550,,,,-37.87837,145.28104,Eastern Metropolitan,10788
Newport,37/114 Mason St,1,u,335K,Williams,7/5/16,3015,1,1,1,0,50,2005,Hobsons Bay,-37.8413,144.8741,Western Metropolitan,5498
Southbank,601/65 Coventry St,2,u,622500,hockingstuart,22/05/2016,3006,2,2,1,2955,67,2013,Melbourne,-37.8299,144.9679,Southern Metropolitan,8400
Ivanhoe,113 Green St,3,h,1102K,Nelson,22/05/2016,3079,3,1,1,597,115,1950,Banyule,-37.7645,145.0314,Eastern Metropolitan,5549
Oakleigh South,266 Warrigal Rd,4,h,1050K,Buxton,24/06/2017,3167,4,2,2,624,,,Monash,-37.91489,145.08441,South-Eastern Metropolitan,3692
Hoppers Crossing,7 Brooke Ct,3,h,540K,Ray,29/07/2017,3029,3,2,2,580,200,1990,Wyndham,-37.87447,144.66771,Western Metropolitan,13830
Ashburton,4 Vears Rd,3,h,1830K,Jellis,25/02/2017,3147,3,2,3,724,168,1940,Boroondara,-37.8619,145.0879,Southern Metropolitan,3052
Kensington,35 Henry St,3,h,1037K,Rendina,3/9/16,3031,3,1,1,188,106,1910,Melbourne,-37.7953,144.9275,Northern Metropolitan,5263
Oakleigh South,1172 North Rd,6,h,1900K,Harcourts,18/03/2017,3167,6,2,6,1200,181,1970,Monash,-37.9099,145.0875,South-Eastern Metropolitan,3692
Northcote,8 Swift St,3,h,1875K,McGrath,22/07/2017,3070,3,1,2,771,,1950,Darebin,-37.76631,145.01699,Northern Metropolitan,11364
Templestowe Lower,7 Dove Ct,4,h,1288K,Barry,26/08/2017,3107,4,2,2,948,,,,-37.76078,145.10696,Eastern Metropolitan,5420
Brunswick,17 Sutherland St,2,h,1015K,Nelson,18/03/2017,3056,2,1,0,453,86,1920,Moreland,-37.762,144.9547,Northern Metropolitan,11918
Flemington,2/121 Wellington St,2,u,452500,Nelson,23/09/2017,3031,2,1,1,807,54,1970,,-37.783,144.93204,Northern Metropolitan,3593
Greenvale,1 Chester Cl,3,h,680K,Barry,3/6/17,3059,3,2,1,650,204,1990,Hume,-37.64049,144.8846,Northern Metropolitan,4864
Richmond,10/200 Brighton St,2,u,646K,Woodards,19/11/2016,3121,2,1,1,0,70,1993,Yarra,-37.8333,144.998,Northern Metropolitan,14949
Reservoir,2/144 Hickford St,3,u,615K,Barry,6/5/17,3073,3,1,2,320,,,Darebin,-37.7018,145.0134,Northern Metropolitan,21650
Keilor Park,44 Erebus St,4,t,746K,Barry,22/05/2016,3042,4,3,1,308,174,1970,Brimbank,-37.7231,144.8602,Western Metropolitan,1119
Kealba,16 Driscolls Rd,3,h,461K,Brad,19/11/2016,3021,3,1,0,534,,,Brimbank,-37.7294,144.8216,Western Metropolitan,1202
Beaconsfield,2 George St,3,u,537K,Peake,29/07/2017,3807,3,1,1,460,,,Cardinia,-38.04668,145.36939,Eastern Victoria,2332
Prahran,27 Westbourne St,3,h,1442K,Jellis,30/07/2016,3181,3,1,2,199,,,Stonnington,-37.8494,145.005,Southern Metropolitan,7717
Hughesdale,8 Bowmore St,4,h,1745K,Woodards,10/12/16,3166,4,2,1,547,185,1925,Monash,-37.9002,145.0768,Southern Metropolitan,3145
Kew,1/1203 Burke Rd,3,t,1205K,Xynergy,8/7/17,3101,3,2,2,257,,,Boroondara,-37.81317,145.05993,Southern Metropolitan,10331
Glen Iris,42 Queens Pde,3,h,1850K,Fletchers,3/9/17,3146,3,1,1,645,,,,-37.85341,145.09189,Southern Metropolitan,10412
Cranbourne,26 Mundaring Dr,5,h,572K,O'Brien,1/7/17,3977,5,2,1,581,,,Casey,-38.10687,145.2811,South-Eastern Metropolitan,7680
Croydon,434 Dorset Rd,3,h,725K,Stockdale,8/7/17,3136,3,1,2,802,105,1980,Maroondah,-37.81083,145.28792,Eastern Metropolitan,11925
Highett,2/25 Wilson St,2,u,645K,Hodges,1/7/17,3190,2,1,1,105,64,1970,Bayside,-37.94887,145.02647,Southern Metropolitan,4794
Fairfield,231 Station St,3,h,1065K,Nelson,23/04/2016,3078,3,1,2,630,,1930,Darebin,-37.7713,145.0196,Northern Metropolitan,2970
Parkdale,1/41 Seventh St,3,t,1206K,Buxton,12/8/17,3195,3,2,2,300,,,Kingston,-37.98833,145.07741,South-Eastern Metropolitan,5087
Abbotsford,133 Yarra St,2,h,1190K,Biggin,22/07/2017,3067,2,2,1,147,175,2000,Yarra,-37.80269,145.0001,Northern Metropolitan,4019
Fawkner,162 Anderson Rd,3,h,550K,Brad,24/09/2016,3060,2,1,1,583,,,Moreland,-37.6949,144.9619,Northern Metropolitan,5070
Yarraville,4 Bena St,3,h,980K,Jas,28/05/2016,3013,3,1,2,463,,,Maribyrnong,-37.8185,144.8812,Western Metropolitan,6543
Viewbank,4 The Glade,3,h,960K,Miles,3/9/16,3084,4,2,2,656,183,1990,Banyule,-37.7322,145.0995,Eastern Metropolitan,2698
South Yarra,407/800 Chapel St,1,u,537K,hockingstuart,6/5/17,3141,1,1,1,0,,2000,Stonnington,-37.8361,144.9966,Southern Metropolitan,14887
Prahran,24/8 Sydney St,2,u,660K,Jellis,24/06/2017,3181,2,2,1,0,76,1970,Stonnington,-37.85184,145.01049,Southern Metropolitan,7717
Preston,35 James St,4,h,810K,Ray,10/9/16,3072,4,2,2,1034,151,1950,Banyule,-37.7379,144.9851,Northern Metropolitan,14577
Pascoe Vale,16 Hayes Pde,5,h,958K,Nelson,29/04/2017,3044,5,2,2,706,166,1950,Moreland,-37.7328,144.9281,Northern Metropolitan,7485
Altona,173 Queen St,3,h,1335K,hockingstuart,8/10/16,3018,3,1,4,777,22,1953,Hobsons Bay,-37.8697,144.8249,Western Metropolitan,5301
Caulfield North,4/7 Hudson St,1,u,361K,hockingstuart,15/07/2017,3161,1,1,1,60,53,1975,Glen Eira,-37.87972,145.03351,Southern Metropolitan,6923
Essendon,18 Vanberg Rd,3,h,1385K,McDonald,12/11/16,3040,3,2,1,619,137,1930,Moonee Valley,-37.7543,144.9318,Western Metropolitan,9264
Reservoir,16 North Rd,3,h,765K,Nelson,15/10/2016,3073,3,1,2,551,,,Darebin,-37.7214,145.0241,Northern Metropolitan,21650
Malvern East,21 Virginia Gr,3,h,1782500,Ray,28/08/2016,3145,3,1,2,615,126,1950,Stonnington,-37.8846,145.0861,Southern Metropolitan,8801
Ascot Vale,85 The Parade,3,h,1310K,Brad,22/07/2017,3032,3,1,2,523,,,Moonee Valley,-37.77255,144.91213,Western Metropolitan,6567
Oakleigh South,4 Hardy Ct,4,h,1215K,Buxton,24/06/2017,3167,4,2,4,619,,,Monash,-37.92542,145.10622,South-Eastern Metropolitan,3692
Northcote,4 Wilmoth St,3,h,1335K,Ray,4/3/17,3070,3,1,3,520,,,Darebin,-37.7683,145.0156,Northern Metropolitan,11364
Doncaster,3 Maralee Pl,3,h,1850K,Jellis,7/11/16,3108,3,1,2,1073,143,1960,Manningham,-37.7772,145.1157,Eastern Metropolitan,9028
Cremorne,443 Punt Rd,3,h,1280K,Biggin,7/11/16,3121,3,2,2,324,165,1880,Yarra,-37.8278,144.9885,Northern Metropolitan,1123
Camberwell,20 Kirkwood Dr,5,h,2740K,Fletchers,28/08/2016,3124,4,2,2,643,363,2005,Boroondara,-37.8421,145.0719,Southern Metropolitan,8920
Strathmore Heights,12 Boeing Rd,4,h,931999,Nelson,12/11/16,3041,4,3,2,528,192,1966,Moonee Valley,-37.7137,144.8987,Western Metropolitan,389
Bayswater North,8 Skye Ct,3,h,724K,iTRAK,23/09/2017,3153,3,2,2,482,147,1990,,-37.82391,145.30266,Eastern Metropolitan,3598
Bayswater,85 Begonia Av,3,h,755K,iTRAK,23/09/2017,3153,3,2,4,782,,,,-37.85002,145.25964,Eastern Metropolitan,5030
Seddon,201 Buckley St,2,h,680K,hockingstuart,23/09/2017,3011,2,1,0,298,88,1900,,-37.80257,144.88811,Western Metropolitan,2417
Rosanna,57 Ruthven St,3,h,850K,Philip,23/09/2017,3084,3,1,2,690,,,,-37.72998,145.06134,Eastern Metropolitan,3540
Seaford,12 Riviera St,4,h,795K,Veitch,27/05/2017,3198,4,2,2,631,158,1960,Frankston,-38.08814,145.12598,South-Eastern Metropolitan,8077
Richmond,50B Duke St,3,h,1250K,Biggin,10/12/16,3121,3,2,1,120,126,2010,Yarra,-37.8243,145.0034,Northern Metropolitan,14949
Fairfield,197 Wingrove St,3,h,1125K,Jellis,4/6/16,3078,2,1,2,530,,,Darebin,-37.7788,145.0203,Northern Metropolitan,2970
Malvern East,10/1810 Malvern Rd,3,t,1015K,Marshall,27/11/2016,3145,3,2,2,0,134,2013,Stonnington,-37.8689,145.06,Southern Metropolitan,8801
Toorak,16 Tashinny Rd,3,h,1689K,Kay,4/3/17,3142,3,1,0,222,118,1920,Stonnington,-37.8448,145.0055,Southern Metropolitan,7217
Pascoe Vale,55 Alpine Gr,3,h,980K,Nelson,19/08/2017,3044,3,1,1,546,103,1950,,-37.72208,144.93714,Northern Metropolitan,7485
Bentleigh East,2/5 Connie St,3,u,870K,Woodards,24/09/2016,3165,3,2,2,365,150,2011,Glen Eira,-37.9225,145.0754,Southern Metropolitan,10969
Vermont,11 Manhattan Sq,4,h,980K,hockingstuart,12/8/17,3133,4,2,0,539,192,1978,Whitehorse,-37.83459,145.21264,Eastern Metropolitan,4181
Footscray,20 McDougall Dr,3,t,757K,Jas,28/08/2016,3011,3,2,2,102,102,2011,Maribyrnong,-37.7987,144.8807,Western Metropolitan,7570
Richmond,61 Baker St,3,h,1310K,Jellis,29/07/2017,3121,3,1,1,209,,1920,Yarra,-37.81179,145.00351,Northern Metropolitan,14949
Richmond,249 Punt Rd,4,h,905K,Biggin,22/05/2016,3121,4,1,0,254,124,1890,Yarra,-37.8201,144.9898,Northern Metropolitan,14949
Newport,87 Elizabeth St,3,h,1002500,Jas,14/05/2016,3015,3,1,2,501,,,Hobsons Bay,-37.8356,144.8785,Western Metropolitan,5498
Glenroy,270 West St,2,h,675K,Eview,8/7/17,3046,2,2,1,248,99,2011,Moreland,-37.69705,144.94219,Northern Metropolitan,8870
Coburg,2 Franklin St,2,h,1008K,Jellis,24/09/2016,3058,2,1,3,457,89,1940,Moreland,-37.7505,144.9725,Northern Metropolitan,11204
Fawkner,15 Dowding Cl,3,h,480K,Nelson,28/05/2016,3060,3,2,2,305,,,Moreland,-37.6972,144.9634,Northern Metropolitan,5070
St Kilda,7 Robe St,3,h,2720K,Marshall,10/9/16,3182,3,2,0,367,,1868,Port Phillip,-37.8658,144.9766,Southern Metropolitan,13240
Pascoe Vale,111 Derby St,3,h,876K,Nelson,27/05/2017,3044,3,1,2,525,146,1960,Moreland,-37.72803,144.94624,Northern Metropolitan,7485
Keilor Downs,14 Carbine Wy,3,h,675K,Ray,8/7/17,3038,3,2,4,708,,,Brimbank,-37.72659,144.79668,Western Metropolitan,3656
Reservoir,6 Joffre St,2,h,1025K,Barry,29/04/2017,3073,2,2,1,715,,,Darebin,-37.7302,145.0129,Northern Metropolitan,21650
Bentleigh,2 Marquis Rd,3,h,895K,Buxton,22/05/2016,3204,3,1,2,0,,,Glen Eira,-37.9307,145.0444,Southern Metropolitan,6795
Toorak,6/183 Kooyong Rd,2,u,866K,Marshall,30/07/2016,3142,2,0,0,0,,,Stonnington,-37.8458,145.0221,Southern Metropolitan,7217
Malvern East,46 Karma Av,3,h,2030K,Marshall,19/08/2017,3145,3,2,2,660,172,1940,,-37.87939,145.0656,Southern Metropolitan,8801
Black Rock,31 Third St,5,h,2520K,Charlton,3/6/17,3193,5,3,2,947,,,Bayside,-37.97956,145.02303,Southern Metropolitan,2866
Brunswick,24 Mitchell St,4,h,1790K,Nelson,22/07/2017,3056,4,3,6,733,238,1950,Moreland,-37.759,144.96623,Northern Metropolitan,11918
Brunswick East,18 Ethel St,2,h,1023K,Domain,3/9/17,3057,2,1,,154,76,1890,,-37.77221,144.97537,Northern Metropolitan,5533
Braybrook,11 Howell Pl,3,h,585K,Barry,14/05/2016,3019,3,2,2,631,,,Maribyrnong,-37.7934,144.8467,Western Metropolitan,3589
Coburg North,27 Williams Rd,4,h,770K,Brad,13/05/2017,3058,4,1,1,545,,,Moreland,-37.7304,144.9605,Northern Metropolitan,3445
Moorabbin,2/165 Wickham Rd,3,u,828K,Jellis,16/09/2017,3189,3,2,2,301,117,1980,,-37.94511,145.04427,Southern Metropolitan,2555
Port Melbourne,84 Raglan St,3,h,1030K,Frank,29/07/2017,3207,3,1,0,130,,,Port Phillip,-37.83424,144.94572,Southern Metropolitan,8648
Kew,36 Denmark St,3,h,1290K,Christopher,27/11/2016,3101,3,1,0,321,,,Boroondara,-37.8116,145.0285,Southern Metropolitan,10331
Carnegie,14 Emily St,3,h,1646K,Ray,11/3/17,3163,3,2,2,721,,,Glen Eira,-37.8909,145.0648,Southern Metropolitan,7822
South Melbourne,218 Ferrars St,1,h,1002K,Marshall,3/12/16,3205,1,1,0,84,,1912,Port Phillip,-37.8332,144.9548,Southern Metropolitan,5943
Yarraville,129 Roberts St,5,h,1137500,hockingstuart,22/05/2016,3013,2,3,4,446,244,1950,Maribyrnong,-37.8146,144.8692,Western Metropolitan,6543
Richmond,149 Mary St,3,h,1100K,Abercromby's,10/12/16,3121,3,1,0,162,81,1915,Yarra,-37.8241,145.0015,Northern Metropolitan,14949
